File,Target,ShotNumber,Distance(m),LaserPower,SpectrumTotal,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,Total,SiO2_RMSEP,TiO2_RMSEP,Al2O3_RMSEP,FeOT_RMSEP,MgO_RMSEP,CaO_RMSEP,Na2O_RMSEP,K2O_RMSEP,labels
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,28,2.70011,100A/95A/95A,9.14E+14,46.838015,0.97468577,11.187199,17.734532,4.154348,8.4755894,3.4346886,0.60032913,93.399387,4.9561963,0.48766828,3.5442927,3.8408704,1.761184,2.6218121,0.64723438,0.69865453,2
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,29,2.70011,100A/95A/95A,1.06E+15,46.07809,0.99327824,11.974586,17.637618,3.7747666,8.3757793,3.9261052,0.68549194,93.445715,4.9742408,0.49200109,3.5567136,3.8251047,1.7222627,2.5998085,0.68806159,0.73540014,0
CL5_398645626CCS_F0030004CCAM02013P3.SAV,Coronation,30,2.70011,100A/95A/95A,1.04E+15,46.658518,0.98755686,12.205941,17.451422,3.7347912,8.3393095,4.0061543,0.67534915,94.059042,4.9599166,0.49200109,3.5606041,3.7918215,1.7182201,2.5909834,0.69763738,0.73124003,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,1,5.70727,100A/95A/95A,1.81E+14,39.856835,1.6466518,16.229446,15.847551,5.9814095,5.6457838,3.2344604,0.65929985,89.101437,5.4840465,0.65891629,3.6573312,3.5231304,1.974925,1.8818198,0.63488787,0.72291982,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,2,5.70727,100A/95A/95A,1.49E+14,39.024576,5.9827028,21.662193,12.180964,5.6185525,4.9438514,3.6143861,0.53978855,93.567015,5.5978804,2.6878252,3.7661507,2.9826653,1.9290214,1.6764696,0.65941262,0.67498809,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,3,5.70727,100A/95A/95A,1.23E+14,40.039867,10.638421,20.289266,10.291931,6.2856666,3.4675603,3.8473273,0.47788417,95.337924,5.4606457,4.9212475,3.7113578,2.7034905,2.0160599,1.2888299,0.67960936,0.65196925,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,4,5.70727,100A/95A/95A,1.42E+14,47.275694,13.422053,18.544812,10.465993,5.5540749,3.0934047,3.9538826,0.58069381,102.89061,4.9506373,6.253634,3.6871817,2.7301321,1.920473,1.2035978,0.69036388,0.6905939,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,5,5.70727,100A/95A/95A,1.40E+14,51.333262,13.577855,16.127761,11.009475,6.1069295,2.569773,3.684754,0.56254306,104.97235,4.9967275,6.330317,3.6550474,2.8103118,1.9918798,1.0989708,0.66466463,0.68272525,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,6,5.70727,100A/95A/95A,1.57E+14,54.604743,13.353255,14.719809,10.758736,5.6980594,2.2381357,3.6193791,0.48364837,105.47576,5.1069603,6.2200837,3.6174474,2.773191,1.9390436,1.0400131,0.66013098,0.65196925,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,7,5.70727,100A/95A/95A,1.72E+14,55.89663,12.352127,14.757681,11.218504,5.8280075,2.3431139,3.5685808,0.54872002,106.51337,5.1533852,5.7408085,3.6185608,2.8414574,1.9557029,1.0575765,0.65654594,0.67885667,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,8,5.70727,100A/95A/95A,1.62E+14,55.710625,12.746064,15.056556,11.240212,5.6602251,2.2635272,3.4975861,0.51343935,106.68823,5.14679,5.932519,3.6269801,2.8444173,1.9339178,1.0435257,0.65179503,0.66338229,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,9,5.70727,100A/95A/95A,1.45E+14,55.30537,13.171561,12.632694,11.125739,5.2389653,2.7373055,3.5457599,0.52950064,104.2869,5.1325054,6.1338139,3.5678172,2.82813,1.8826964,1.1317132,0.65517801,0.67111945,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,10,5.70727,100A/95A/95A,1.12E+14,56.167865,17.563444,11.055355,10.143109,4.9215225,2.4993032,3.3649301,0.58282742,106.29836,5.1627569,8.237833,3.5420868,2.6812985,1.8454633,1.0856781,0.64280885,0.6905939,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,11,5.70727,100A/95A/95A,1.65E+14,55.281796,19.151002,11.734606,11.200654,5.1803105,2.3482056,3.3094532,0.43536984,108.6414,5.1314292,8.9998808,3.5529335,2.8384976,1.8757151,1.0593328,0.63971943,0.63725245,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,12,5.70727,100A/95A/95A,1.53E+14,56.393091,15.520158,12.031221,11.097446,5.1909904,2.4250971,3.2240186,0.62812378,106.51015,5.1703935,7.2601113,3.5576587,2.8236756,1.8768786,1.0733837,0.63429981,0.71074539,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,13,5.70727,100A/95A/95A,1.62E+14,56.166956,15.616738,13.71439,10.450692,4.8658546,2.2726392,3.0313908,0.51151202,106.63017,5.1627569,7.3080392,3.5906034,2.7271626,1.8396456,1.0452821,0.62385118,0.66338229,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,14,5.70727,100A/95A/95A,1.36E+14,58.532374,14.66446,12.51326,9.2183338,5.1707183,2.0901511,3.5295089,0.61149367,106.3303,5.2360921,6.8479342,3.5657125,2.5472336,1.8745515,1.0154794,0.65381014,0.70268482,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,15,5.70727,100A/95A/95A,1.42E+14,58.125401,12.870218,13.361211,10.172241,4.5038071,2.4146298,3.4896806,0.61155532,105.54874,5.225172,5.9900317,3.5824347,2.6857369,1.7984982,1.0698709,0.6511367,0.70268482,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,16,5.70727,100A/95A/95A,1.31E+14,59.552646,14.025131,13.043515,9.5637977,4.5320043,1.8678241,3.5644341,0.47573202,106.62508,5.2619061,6.5459914,3.5756879,2.5963306,1.8018254,0.98077601,0.65586197,0.65196925,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,17,5.70727,100A/95A/95A,1.33E+14,58.5743,15.471106,12.117692,9.93001,4.4995171,2.325439,3.6156657,0.50278629,107.03652,5.237184,7.2361474,3.5591304,2.6504037,1.7984982,1.0558202,0.66013098,0.65951371,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,18,5.70727,100A/95A/95A,1.33E+14,59.943662,15.507275,12.382159,9.5211969,4.590881,2.4275213,3.5922623,0.66211022,108.62707,5.2705884,7.2553191,3.5634325,2.5905137,1.8084801,1.0733837,0.65797591,0.72291982,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,19,5.70727,100A/95A/95A,1.40E+14,58.931331,18.602189,11.662491,10.042295,4.501065,2.1478565,3.3163087,0.56926664,109.7728,5.2468553,8.7362785,3.5518332,2.6665659,1.7984982,1.0250043,0.64033276,0.68659389,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,20,5.70727,100A/95A/95A,1.27E+14,60.062314,17.584124,11.226499,9.7167858,4.206517,1.6582079,3.3564813,0.58049873,108.39143,5.2731323,8.2474184,3.5449486,2.6195984,1.7675333,0.95090336,0.64280885,0.6905939,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,21,5.70727,100A/95A/95A,1.24E+14,58.273693,18.957598,11.388055,9.6844891,4.3224369,2.0381411,3.5357544,0.55857817,108.75875,5.2289939,8.9088192,3.5475724,2.6137815,1.7791735,1.0075421,0.65449411,0.68272525,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,22,5.70727,100A/95A/95A,1.47E+14,60.186785,16.131485,11.617005,10.397438,4.2608776,2.0295027,3.3631951,0.63314882,108.61944,5.275888,7.5524697,3.5512047,2.7197649,1.7728243,1.0059547,0.64280885,0.71074539,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,23,5.70727,100A/95A/95A,1.39E+14,60.084996,17.287359,11.658646,10.292784,4.1309675,1.9801436,3.2082798,0.60690474,109.25008,5.2735562,8.108429,3.5518332,2.7034905,1.7590677,0.99801743,0.63371843,0.70268482,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,24,5.70727,100A/95A/95A,1.53E+14,58.912898,19.490447,11.96102,9.7722671,4.1304422,2.1762487,3.1665104,0.54578722,110.15562,5.2463698,9.1628342,3.5565562,2.6268957,1.7590677,1.0297667,0.63139284,0.67885667,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,25,5.70727,100A/95A/95A,1.50E+14,59.683644,18.388574,12.388123,9.3563033,4.4849501,2.0427026,3.379988,0.59548116,110.31977,5.2650619,8.6356316,3.5636079,2.5673294,1.7962799,1.0075421,0.64406019,0.69865453,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,26,5.70727,100A/95A/95A,1.61E+14,58.47535,19.613055,12.089141,9.9220817,4.083755,2.1144821,3.4648105,0.65820877,110.42088,5.2347269,9.2203474,3.5586393,2.6489346,1.7537766,1.0186545,0.64916176,0.72291982,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,27,5.70727,100A/95A/95A,1.52E+14,60.039736,18.846493,12.031985,10.148894,4.0383427,2.0336777,3.4906952,0.60469912,111.23452,5.2727079,8.8560982,3.5576587,2.6827779,1.7495507,1.0059547,0.6511367,0.69865453,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,28,5.70727,100A/95A/95A,1.57E+14,57.993932,21.615484,11.936633,9.627947,4.3339137,2.2347723,3.2387427,0.62777653,111.6092,5.2211142,10.18369,3.556241,2.6065102,1.7802317,1.0382568,0.63548732,0.71074539,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,29,5.70727,100A/95A/95A,1.56E+14,58.31934,18.76561,12.198735,9.1281898,3.9240165,2.0620911,3.2659324,0.59981696,108.26373,5.2303591,8.8177567,3.5604403,2.5343149,1.7374227,1.0107172,0.63728547,0.69865453,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,30,5.70727,100A/95A/95A,1.59E+14,60.569156,20.791611,12.457857,9.4827383,4.177514,1.9446371,2.9840775,0.5834322,112.99102,5.2837062,9.7858925,3.5648355,2.5846968,1.7643586,0.99166757,0.62139904,0.6905939,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,31,5.70727,100A/95A/95A,1.46E+14,58.790513,18.672727,12.139636,9.1946212,4.2708808,1.9414054,3.3385854,0.69379317,109.04216,5.2431903,8.7698288,3.559458,2.5429273,1.7738825,0.99166757,0.64155942,0.73540014,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,32,5.70727,100A/95A/95A,1.46E+14,60.904813,19.066701,12.383207,9.7351532,4.2355013,1.8692018,2.9455975,0.70916086,111.84934,5.2897048,8.9615383,3.5634325,2.6225069,1.7707078,0.98077601,0.62000495,0.74372035,2
